Field1	Field2	Title1	Image1	productlink_URL1	Money1	Price1	Tag1	Info1							
		SOFT HOODED COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/soft-hooded-coat-p03046266.html	69.90 USD	69.90 USD		3							
		TABBED COLLAR CROPPED SHIRT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/tabbed-collar-cropped-shirt-p03897051.html	45.90 USD	45.90 USD									
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	POWDER BRONZER REFILL	https://static.zara.net/photos///2021/V/2/1/p/4130/836/734/2/w/198/4130836734_6_1_1.jpg?ts=1620035148019	https://www.zara.com/us/en/powder-bronzer-refill-p24130836.html			19.90 USD	19.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	SILK TRIANGLE BRALETTE	https://static.zara.net/photos///2023/I/0/1/p/1067/921/806/2/w/198/1067921806_6_1_1.jpg?ts=1694521342502	https://www.zara.com/us/en/silk-triangle-bralette-p01067921.html			59.90 USD	12.99 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	CROPPED SOFT JACKET	https://static.zara.net/photos///2023/I/0/1/p/3046/260/704/2/w/198/3046260704_6_1_1.jpg?ts=1692174136023	https://www.zara.com/us/en/cropped-soft-jacket-p03046260.html		1	49.90 USD	49.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	CROPPED FLAP JACKET	https://static.zara.net/photos///2024/V/0/1/p/3046/778/401/2/w/198/3046778401_6_1_1.jpg?ts=1705048537677	https://www.zara.com/us/en/cropped-flap-jacket-p03046888.html		3	59.90 USD	59.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	TAILORED DOUBLE BREASTED BLAZER	https://static.zara.net/photos///2022/I/0/1/p/2284/646/800/2/w/198/2284646800_6_1_1.jpg?ts=1661877193559	https://www.zara.com/us/en/tailored-double-breasted-blazer-p07792293.html		3	89.90 USD	89.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	CROPPED FLAP JACKET	https://static.zara.net/photos///2023/I/0/1/p/3046/278/800/2/w/198/3046278800_6_1_1.jpg?ts=1695141520906	https://www.zara.com/us/en/cropped-flap-jacket-p03046888.html		3	59.90 USD	59.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	SOFT BOMBER JACKET	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/soft-bomber-jacket-p03046272.html		2	49.90 USD	49.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	FITTED JACQUARD DRESS	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/fitted-jacquard-dress-p01165690.html	FEW ITEMS LEFT	2	39.90 USD	12.99 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	OVERSIZED BOUCLE BOMBER	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/oversized-boucle-bomber-p05070642.html			35.99 USD	19.99 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	POINTELLE KNIT CARDIGAN	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/pointelle-knit-cardigan-p04331133.html			49.90 USD	22.99 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	KNIT CARDIGAN WITH GOLDEN BUTTONS	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/knit-cardigan-with-golden-buttons-p06427124.html		1	49.90 USD	49.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	PANTS WITH A HIGH WAIST	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/pants-with-a-high-waist-p09929132.html		6	45.90 USD	45.90 USD
